"data","Bergamo","Brescia","Como","Cremona","In fase di definizione/aggiornamento","Lecco","Lodi","Mantova","Milano","Monza e della Brianza","Pavia","Sondrio","Varese"
"2020-02-24",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-25",18,0,0,53,5,0,125,0,8,3,27,1,0
"2020-02-26",20,2,0,57,9,0,128,0,8,4,27,3,0
"2020-02-27",72,10,0,91,12,0,159,0,15,5,36,3,0
"2020-02-28",103,13,0,123,20,0,182,0,29,6,49,3,3
"2020-02-29",110,14,1,136,18,0,237,1,30,6,55,3,4
"2020-03-01",209,49,2,214,23,2,344,4,46,6,78,3,4
"2020-03-02",243,60,2,223,178,3,384,5,58,8,83,3,4
"2020-03-03",372,86,4,287,36,4,482,15,93,9,122,3,7
"2020-03-04",423,127,5,333,49,5,559,22,145,11,126,4,11
"2020-03-05",537,155,11,406,62,8,658,26,197,19,151,4,17
"2020-03-06",623,182,11,452,68,11,739,32,267,20,180,4,23
"2020-03-07",761,413,23,562,93,35,811,46,361,61,221,6,27
"2020-03-08",997,501,27,665,291,53,853,56,406,59,243,6,32
"2020-03-09",1245,739,40,916,516,66,928,102,506,64,296,7,44
"2020-03-10",1472,790,46,957,317,89,963,119,592,65,324,7,50
"2020-03-11",1815,1351,77,1061,190,113,1035,137,925,85,403,13,75
"2020-03-12",2136,1598,98,1302,235,199,1123,169,1146,130,468,23,98
"2020-03-13",2368,1784,118,1344,569,237,1133,187,1307,143,482,23,125
"2020-03-14",2864,2122,154,1565,556,287,1276,261,1551,224,622,45,158
"2020-03-15",3416,2473,184,1792,376,344,1320,339,1750,327,722,45,184
"2020-03-16",3760,2918,220,1881,362,386,1362,382,1983,346,801,46,202
"2020-03-17",3993,3300,256,2073,381,440,1418,465,2326,376,884,74,234
"2020-03-18",4305,3784,286,2167,383,466,1445,514,2644,401,978,75,265
"2020-03-19",4645,4247,338,2286,425,530,1528,636,3278,495,1011,155,310
"2020-03-20",5154,4648,380,2392,468,676,1597,723,3804,816,1105,163,338
"2020-03-21",5869,5028,452,2733,592,818,1693,842,4672,1084,1194,179,359
"2020-03-22",6216,5317,512,2895,616,872,1772,905,5096,1108,1306,205,386
"2020-03-23",6471,5905,581,2925,614,934,1817,985,5326,1130,1444,208,421
"2020-03-24",6728,6298,635,3061,656,1015,1860,1093,5701,1454,1499,253,450
"2020-03-25",7072,6597,706,3156,688,1076,1884,1176,6074,1587,1578,284,468
"2020-03-26",7458,6931,762,3370,807,1159,1968,1250,6922,1750,1685,325,502
"2020-03-27",8060,7305,816,3496,805,1210,2006,1398,7469,1948,1712,362,711
"2020-03-28",8349,7678,903,3605,1149,1316,2029,1484,7783,2086,1877,388,768
"2020-03-29",8527,8013,1014,3762,901,1381,2057,1550,8329,2265,1974,422,812
"2020-03-30",8664,8213,1061,3788,908,1437,2087,1617,8676,2362,2036,446,866
"2020-03-31",8803,8367,1101,3869,925,1470,2116,1688,8911,2462,2133,470,893
"2020-04-01",9039,8598,1157,3941,963,1516,2157,1736,9522,2543,2180,484,937
"2020-04-02",9171,8757,1205,3974,994,1552,2189,1782,10004,2633,2285,517,1002
"2020-04-03",9315,9014,1256,4097,1028,1594,2214,1884,10391,2774,2331,537,1085
"2020-04-04",9588,9180,1319,4154,1066,1628,2238,1981,10819,2935,2499,563,1148
"2020-04-05",9712,9340,1384,4233,1132,1678,2255,2044,11230,3046,2619,591,1191
"2020-04-06",9815,9477,1473,4260,1133,1712,2278,2084,11538,3157,2700,614,1293
"2020-04-07",9868,9594,1525,4323,1147,1731,2321,2142,11787,3206,2735,620,1326
