"data","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","dimessi_guariti","deceduti","totale_casi","tamponi","totale_positivi","nuovi_positivi","variazione_totale_positivi"
"2020-02-24",25,7,32,23,1,1,57,2861,55,55,0
"2020-02-25",35,10,45,35,1,1,82,4923,80,25,25
"2020-02-26",49,11,60,76,3,3,142,6379,136,60,56
"2020-02-27",76,15,91,148,5,3,247,8694,239,105,103
"2020-02-28",110,17,127,220,6,4,357,10860,347,110,108
"2020-02-29",145,25,170,327,10,6,513,12938,497,156,150
"2020-03-01",233,34,267,423,10,10,710,14248,690,197,193
"2020-03-02",264,39,303,455,10,14,782,15420,758,72,68
"2020-03-03",336,62,398,539,21,24,982,16279,937,200,179
"2020-03-04",469,86,555,654,26,34,1269,17699,1209,287,272
"2020-03-05",621,107,728,791,38,50,1607,20008,1519,338,310
"2020-03-06",772,153,925,983,54,62,2024,22803,1908,417,389
"2020-03-07",990,208,1198,1121,65,79,2463,26284,2319,439,411
"2020-03-08",1340,251,1591,1424,72,99,3186,31403,3015,723,696
"2020-03-09",1514,293,1807,1688,78,130,3703,33691,3495,517,480
"2020-03-10",1719,411,2130,1957,108,163,4358,39282,4087,655,592
"2020-03-11",1986,468,2454,2373,145,210,5182,47525,4827,824,740
"2020-03-12",2403,548,2951,2992,173,272,6388,56477,5943,1206,1116
"2020-03-13",2991,678,3669,3554,241,376,7840,64788,7223,1452,1280
"2020-03-14",3474,786,4260,4431,306,475,9472,72032,8691,1632,1468
"2020-03-15",4163,905,5068,5492,324,591,11475,84530,10560,2003,1869
"2020-03-16",4854,1028,5882,6330,381,738,13331,94397,12212,1856,1652
"2020-03-17",5941,1181,7122,6845,456,863,15286,102208,13967,1955,1755
"2020-03-18",7078,1333,8411,8033,537,1019,18000,116558,16444,2714,2477
"2020-03-19",8370,1492,9862,9390,662,1237,21151,130533,19252,3151,2808
"2020-03-20",8285,1605,9890,12550,834,1483,24757,149712,22440,3606,3188
"2020-03-21",9450,1764,11214,14097,1022,1730,28063,166492,25311,3306,2871
"2020-03-22",10407,1867,12274,16479,1159,2020,31932,187804,28753,3869,3442
"2020-03-23",11426,2021,13447,18061,1357,2301,35166,202226,31508,3234,2755
"2020-03-24",12226,2202,14428,19734,1669,2642,38473,220269,34162,3307,2654
"2020-03-25",13086,2253,15339,21591,2081,3029,42040,242779,36930,3567,2768
"2020-03-26",14072,2349,16421,23403,2522,3304,45650,273347,39824,3610,2894
"2020-03-27",14892,2440,17332,25187,2949,3732,49200,298219,42519,3550,2695
"2020-03-28",15524,2537,18061,27495,3422,4079,53057,327023,45556,3857,3037
"2020-03-29",15773,2578,18351,30137,3775,4419,56682,346632,48488,3625,2932
"2020-03-30",15980,2651,18631,31891,4283,4773,59578,366302,50522,2896,2034
"2020-03-31",16309,2699,19008,33503,4844,5229,62584,392328,52511,3006,1989
"2020-04-01",16476,2693,19169,35638,5432,5562,65801,419974,54807,3217,2296
"2020-04-02",16778,2702,19480,37693,6049,5955,69177,452946,57173,3376,2366
"2020-04-03",16939,2687,19626,39573,6738,6370,72307,484798,59199,3130,2026
"2020-04-04",17008,2668,19676,41378,7754,6706,75514,515347,61054,3207,1855
"2020-04-05",16940,2660,19600,43522,8389,6982,78493,541477,63122,2979,2068
"2020-04-06",17062,2555,19617,45101,8974,7321,81013,566743,64718,2520,1596
"2020-04-07",16885,2487,19372,46352,9894,7643,83261,596114,65724,2248,1006
"2020-04-08",16766,2436,19202,47515,11344,7947,86008,639568,66717,2747,993
"2020-04-09",16603,2369,18972,48831,12764,8257,88824,676416,67803,2816,1086
"2020-04-10",16365,2295,18660,50083,14175,8611,91529,720539,68743,2705,940
"2020-04-11",16118,2207,18325,51686,15711,8957,94679,767171,70011,3150,1268
"2020-04-12",15878,2167,18045,52943,17045,9278,97311,804361,70988,2632,977
"2020-04-13",15995,2117,18112,53569,17957,9564,99202,835818,71681,1891,693
