"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","casi_testati"
"2020-02-24","ITA",5,"Veneto",45.43490485,12.33845213,12,4,16,16,32,0,32,0,1,33,2200,
"2020-02-25","ITA",5,"Veneto",45.43490485,12.33845213,12,7,19,23,42,10,10,0,1,43,3780,
"2020-02-26","ITA",5,"Veneto",45.43490485,12.33845213,16,8,24,45,69,27,28,0,2,71,4900,
"2020-02-27","ITA",5,"Veneto",45.43490485,12.33845213,19,8,27,82,109,40,40,0,2,111,6164,
"2020-02-28","ITA",5,"Veneto",45.43490485,12.33845213,24,9,33,116,149,40,40,0,2,151,7414,
"2020-02-29","ITA",5,"Veneto",45.43490485,12.33845213,24,11,35,154,189,40,40,0,2,191,8659,
"2020-03-01","ITA",5,"Veneto",45.43490485,12.33845213,51,13,64,197,261,72,72,0,2,263,9056,
"2020-03-02","ITA",5,"Veneto",45.43490485,12.33845213,53,14,67,204,271,10,10,0,2,273,9782,
"2020-03-03","ITA",5,"Veneto",45.43490485,12.33845213,49,19,68,229,297,26,34,7,3,307,10176,
"2020-03-04","ITA",5,"Veneto",45.43490485,12.33845213,76,23,99,246,345,48,53,9,6,360,10515,
"2020-03-05","ITA",5,"Veneto",45.43490485,12.33845213,92,24,116,264,380,35,47,17,10,407,11949,
"2020-03-06","ITA",5,"Veneto",45.43490485,12.33845213,117,27,144,310,454,74,81,22,12,488,13023,
"2020-03-07","ITA",5,"Veneto",45.43490485,12.33845213,123,41,164,341,505,51,55,25,13,543,14429,
"2020-03-08","ITA",5,"Veneto",45.43490485,12.33845213,146,47,193,430,623,118,127,29,18,670,15918,
"2020-03-09","ITA",5,"Veneto",45.43490485,12.33845213,186,51,237,457,694,71,74,30,20,744,15956,
"2020-03-10","ITA",5,"Veneto",45.43490485,12.33845213,204,67,271,512,783,89,112,47,26,856,16643,
"2020-03-11","ITA",5,"Veneto",45.43490485,12.33845213,262,68,330,610,940,157,167,54,29,1023,21400,
"2020-03-12","ITA",5,"Veneto",45.43490485,12.33845213,360,85,445,852,1297,357,361,55,32,1384,23438,
"2020-03-13","ITA",5,"Veneto",45.43490485,12.33845213,366,107,473,980,1453,156,211,100,42,1595,25691,
"2020-03-14","ITA",5,"Veneto",45.43490485,12.33845213,366,119,485,1290,1775,322,342,107,55,1937,26980,
"2020-03-15","ITA",5,"Veneto",45.43490485,12.33845213,426,129,555,1434,1989,214,235,120,63,2172,32546,
"2020-03-16","ITA",5,"Veneto",45.43490485,12.33845213,498,156,654,1620,2274,285,301,130,69,2473,35052,
"2020-03-17","ITA",5,"Veneto",45.43490485,12.33845213,548,171,719,1769,2488,214,231,136,80,2704,35478,
"2020-03-18","ITA",5,"Veneto",45.43490485,12.33845213,646,195,841,2112,2953,465,510,167,94,3214,40841,
"2020-03-19","ITA",5,"Veneto",45.43490485,12.33845213,771,209,980,2189,3169,216,270,200,115,3484,44658,
"2020-03-20","ITA",5,"Veneto",45.43490485,12.33845213,843,236,1079,2598,3677,508,547,223,131,4031,49288,
"2020-03-21","ITA",5,"Veneto",45.43490485,12.33845213,942,249,1191,3023,4214,537,586,257,146,4617,53642,
"2020-03-22","ITA",5,"Veneto",45.43490485,12.33845213,1113,255,1368,3276,4644,430,505,309,169,5122,57671,
"2020-03-23","ITA",5,"Veneto",45.43490485,12.33845213,1206,281,1487,3499,4986,342,383,327,192,5505,61115,
"2020-03-24","ITA",5,"Veneto",45.43490485,12.33845213,1318,304,1622,3729,5351,365,443,381,216,5948,66178,
"2020-03-25","ITA",5,"Veneto",45.43490485,12.33845213,1407,316,1723,4022,5745,394,494,439,258,6442,70877,
"2020-03-26","ITA",5,"Veneto",45.43490485,12.33845213,1447,326,1773,4367,6140,395,493,508,287,6935,79759,
"2020-03-27","ITA",5,"Veneto",45.43490485,12.33845213,1536,338,1874,4774,6648,508,562,536,313,7497,83627,
"2020-03-28","ITA",5,"Veneto",45.43490485,12.33845213,1559,344,1903,5010,6913,265,433,655,362,7930,89380,
"2020-03-29","ITA",5,"Veneto",45.43490485,12.33845213,1586,355,1941,5310,7251,338,428,715,392,8358,94784,
"2020-03-30","ITA",5,"Veneto",45.43490485,12.33845213,1633,356,1989,5575,7564,313,366,747,413,8724,99941,
"2020-03-31","ITA",5,"Veneto",45.43490485,12.33845213,1680,356,2036,5814,7850,286,431,828,477,9155,106238,
"2020-04-01","ITA",5,"Veneto",45.43490485,12.33845213,1718,350,2068,6156,8224,374,470,902,499,9625,112746,
"2020-04-02","ITA",5,"Veneto",45.43490485,12.33845213,1670,345,2015,6563,8578,354,486,1001,532,10111,120320,
"2020-04-03","ITA",5,"Veneto",45.43490485,12.33845213,1714,335,2049,6812,8861,283,353,1031,572,10464,126490,
"2020-04-04","ITA",5,"Veneto",45.43490485,12.33845213,1691,324,2015,7078,9093,232,360,1124,607,10824,133289,
"2020-04-05","ITA",5,"Veneto",45.43490485,12.33845213,1674,329,2003,7406,9409,316,402,1186,631,11226,140910,
"2020-04-06","ITA",5,"Veneto",45.43490485,12.33845213,1714,322,2036,7686,9722,313,362,1204,662,11588,146288,
"2020-04-07","ITA",5,"Veneto",45.43490485,12.33845213,1579,297,1876,8089,9965,243,337,1265,695,11925,153542,
"2020-04-08","ITA",5,"Veneto",45.43490485,12.33845213,1554,285,1839,8332,10171,206,485,1503,736,12410,163247,
"2020-04-09","ITA",5,"Veneto",45.43490485,12.33845213,1530,274,1804,8645,10449,278,523,1728,756,12933,171456,
"2020-04-10","ITA",5,"Veneto",45.43490485,12.33845213,1521,257,1778,8869,10647,198,488,1981,793,13421,180700,
"2020-04-11","ITA",5,"Veneto",45.43490485,12.33845213,1465,251,1716,9033,10749,102,347,2188,831,13768,190912,
"2020-04-12","ITA",5,"Veneto",45.43490485,12.33845213,1428,249,1677,9052,10729,-20,309,2492,856,14077,198442,
"2020-04-13","ITA",5,"Veneto",45.43490485,12.33845213,1427,245,1672,9094,10766,37,174,2603,882,14251,203077,
"2020-04-14","ITA",5,"Veneto",45.43490485,12.33845213,1427,233,1660,9076,10736,-30,181,2790,906,14432,208878,
"2020-04-15","ITA",5,"Veneto",45.43490485,12.33845213,1402,219,1621,9168,10789,53,192,2895,940,14624,216344,
"2020-04-16","ITA",5,"Veneto",45.43490485,12.33845213,1388,209,1597,9203,10800,11,366,3209,981,14990,224549,
"2020-04-17","ITA",5,"Veneto",45.43490485,12.33845213,1359,197,1556,9062,10618,-182,384,3730,1026,15374,236722,
"2020-04-18","ITA",5,"Veneto",45.43490485,12.33845213,1287,190,1477,8967,10444,-174,318,4189,1059,15692,247329,
"2020-04-19","ITA",5,"Veneto",45.43490485,12.33845213,1264,184,1448,8762,10210,-234,243,4638,1087,15935,255797,161231
"2020-04-20","ITA",5,"Veneto",45.43490485,12.33845213,1273,180,1453,8608,10061,-149,192,4954,1112,16127,260810,163757
"2020-04-21","ITA",5,"Veneto",45.43490485,12.33845213,1230,177,1407,8670,10077,16,277,5173,1154,16404,268069,167129
"2020-04-22","ITA",5,"Veneto",45.43490485,12.33845213,1205,163,1368,8623,9991,-86,334,5566,1181,16738,277543,171735
"2020-04-23","ITA",5,"Veneto",45.43490485,12.33845213,1189,140,1329,8596,9925,-66,143,5750,1206,16881,288075,177154
"2020-04-24","ITA",5,"Veneto",45.43490485,12.33845213,1159,130,1289,8390,9679,-246,348,6306,1244,17229,296896,181473
"2020-04-25","ITA",5,"Veneto",45.43490485,12.33845213,1105,129,1234,8198,9432,-247,162,6671,1288,17391,306977,186426
"2020-04-26","ITA",5,"Veneto",45.43490485,12.33845213,1097,124,1221,7917,9138,-294,80,7018,1315,17471,316361,183513
"2020-04-27","ITA",5,"Veneto",45.43490485,12.33845213,1099,123,1222,7638,8860,-278,108,7375,1344,17579,320027,192751
"2020-04-28","ITA",5,"Veneto",45.43490485,12.33845213,1067,120,1187,7414,8601,-259,129,7699,1408,17708,328218,196864
"2020-04-29","ITA",5,"Veneto",45.43490485,12.33845213,1042,114,1156,7213,8369,-232,117,8019,1437,17825,337656,200737
"2020-04-30","ITA",5,"Veneto",45.43490485,12.33845213,1012,114,1126,7021,8147,-222,135,8354,1459,17960,349227,206347
"2020-05-01","ITA",5,"Veneto",45.43490485,12.33845213,977,110,1087,6692,7779,-368,138,8840,1479,18098,362459,212706
"2020-05-02","ITA",5,"Veneto",45.43490485,12.33845213,970,108,1078,6353,7431,-348,126,9291,1502,18224,370978,216997
"2020-05-03","ITA",5,"Veneto",45.43490485,12.33845213,955,103,1058,6241,7299,-132,94,9503,1516,18318,378202,220598
"2020-05-04","ITA",5,"Veneto",45.43490485,12.33845213,955,101,1056,6178,7234,-65,55,9611,1528,18373,383660,223968
"2020-05-05","ITA",5,"Veneto",45.43490485,12.33845213,926,98,1024,6092,7116,-118,29,9741,1545,18402,390952,227579
